GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""06000""",California,8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,92160048,99417462,105987186,116351066,127777265,142507421,157639903,174924788,194032902,220640055,250173900,284307980,319557151,342342458,369808779,410796416,444066873,476682239,513377058,558041138,600755071,643684926,665992598,702449072,719730984,742429143,780642835,829666598,882677306,959693523,1030884656,1135543382,1173878608,1190223778,1243465494,1318744308,1394854877,1503754405,1572721399,1594742475,1540872603,1614040770,1715226969,1827166863,1857200859,1980736837,2125430316,2218457774,2318644417,2431821953,2544234978,2763311977
" ""06000""",California,8,CAINC1,2,...,Population (persons) 1/,Number of persons,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078
" ""06000""",California,8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11945,13158,13793,14582,15895,16795,17588,18482,19605,20561,21485,21857,22678,23013,23581,24629,25912,27171,29092,30773,33410,34046,34131,35272,37070,38932,41746,43385,43567,41689,43249,45574,48154,48549,51332,54632,56667,58942,61663,64513,70192
" ""06001""","Alameda, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,4991979,5413615,5748044,6256221,6646967,7316446,8047585,8852592,9627922,10741959,11895501,13389159,15070912,16080360,17483059,19467458,21038021,22275177,23589473,25589904,27673644,29593225,30549152,32127626,33130062,34167648,36266947,38887009,41495774,45510174,49630392,56878821,57935628,57269346,58289031,60118402,62166585,67010278,69951007,71680628,68713396,71981664,77395558,81835226,86325365,93163772,102412663,109572257,116802392,125583845,131535494,144751041
" ""06001""","Alameda, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,1060099,1073505,1084483,1099590,1089330,1092233,1090869,1098146,1099851,1103717,1099272,1109931,1125950,1140269,1160694,1179132,1197401,1215506,1229319,1251100,1271443,1306166,1318543,1332208,1339189,1341707,1346548,1359099,1380383,1405903,1427114,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1512997,1530893,1553729,1579508,1607638,1634326,1650765,1659824,1666596,1668412,1662323
" ""06001""","Alameda, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,4709,5043,5300,5690,6102,6699,7377,8061,8754,9733,10821,12063,13385,14102,15063,16510,17570,18326,19189,20454,21766,22657,23169,24116,24739,25466,26933,28612,30061,32371,34777,39231,39426,39169,40084,41584,43125,46390,48053,48524,45854,47576,50556,52670,54653,57951,62664,66377,70370,75354,78839,87078
" ""06003""","Alpine, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,2003,2261,2634,3373,3715,3930,4408,5731,6072,7891,9338,10316,11630,12403,13688,14104,14688,15134,15873,18896,20703,20190,18111,18250,20995,22464,23981,26041,27704,28629,30527,33580,40764,42055,43561,41631,41309,41669,45470,46430,46599,49529,61041,65159,64672,69772,71931,76949,78460,82268,88707,85240
" ""06003""","Alpine, CA",8,CAINC1,2,...,Population (persons) 1/,Number of persons,398,508,584,702,671,730,785,817,890,983,1160,1104,1131,1145,1119,1092,1156,1197,1141,1162,1161,1106,1162,1154,1196,1199,1246,1262,1239,1223,1205,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,1161,1093,1111,1131,1083,1080,1053,1116,1081,1113,1119
" ""06003""","Alpine, CA",8,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,5033,4451,4510,4805,5537,5384,5615,7015,6822,8027,8050,9344,10283,10832,12232,12916,12706,12643,13911,16262,17832,18255,15586,15815,17554,18736,19246,20635,22360,23409,25334,27775,34084,33998,35329,32962,33888,32656,35691,38627,38930,42661,55847,58649,57181,64425,66603,73076,70305,76104,79701,76175
" ""06005""","Amador, CA",8,CAINC1,1,...,Personal income (thousands of dollars),Thousands of dollars,47391,52052,57221,63717,73443,83961,95034,108959,125334,146550,170527,190613,208033,222735,247168,281627,308270,335872,376503,419187,455463,491345,536608,567895,595834,610059,645493,682026,688710,732909,778994,861262,951258,1005341,1055757,1122163,1143783,1215541,1281816,1304478,1261150,1296086,1314759,1333719,1349159,1418546,1496079,1532685,1610161,1670993,1745661,1912798
